#options: 1920x1080 fps=30000/1001 timebase=1001/30000 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=crf mbtree=1 crf=30.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:33 out:34 type:b dur:2 cpbdur:2 q:36.03 aq:34.00 tex:0 mv:10 misc:398 imb:0 pmb:4 smb:8156 d:- ref:0 ;
in:38 out:35 type:P dur:2 cpbdur:2 q:36.03 aq:23.48 tex:836 mv:66 misc:498 imb:4 pmb:12 smb:8144 d:- ref:0 ;
in:36 out:36 type:B dur:2 cpbdur:2 q:36.03 aq:32.00 tex:0 mv:11 misc:413 imb:0 pmb:4 smb:8156 d:- ref:0 ;
in:35 out:37 type:b dur:2 cpbdur:2 q:36.03 aq:34.00 tex:0 mv:13 misc:403 imb:0 pmb:4 smb:8156 d:- ref:0 ;
in:37 out:38 type:b dur:2 cpbdur:2 q:36.03 aq:34.00 tex:0 mv:0 misc:384 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:42 out:39 type:P dur:2 cpbdur:2 q:36.03 aq:21.18 tex:342379 mv:25281 misc:620 imb:7278 pmb:882 smb:0 d:- ref:0 w:6,49,-15,7,82,46,115,13 ;
in:40 out:40 type:B dur:2 cpbdur:2 q:36.03 aq:29.08 tex:17505 mv:6889 misc:1550 imb:537 pmb:387 smb:7236 d:- ref:0 ;
in:39 out:41 type:b dur:2 cpbdur:2 q:36.03 aq:29.81 tex:118 mv:511 misc:635 imb:13 pmb:181 smb:7966 d:- ref:0 ;
in:41 out:42 type:b dur:2 cpbdur:2 q:36.03 aq:30.44 tex:114 mv:660 misc:770 imb:38 pmb:150 smb:7972 d:- ref:0 ;
in:46 out:43 type:P dur:2 cpbdur:2 q:36.03 aq:26.29 tex:33135 mv:4957 misc:2292 imb:477 pmb:452 smb:7231 d:- ref:0 ;
in:44 out:44 type:B dur:2 cpbdur:2 q:36.03 aq:33.42 tex:243 mv:458 misc:827 imb:7 pmb:201 smb:7952 d:- ref:0 ;
